"filename", "language", "Vue", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\yusuf\Desktop\he-we-go-again\apis\package.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\app.js", "JavaScript", 0, 5, 0, 2, 1, 8
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\controllers\blog.js", "JavaScript", 0, 61, 0, 0, 5, 66
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\controllers\models\user.js", "JavaScript", 0, -16, 0, -3, -1, -20
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\controllers\user.js", "JavaScript", 0, 11, 0, 3, 2, 16
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\models\blog.js", "JavaScript", 0, 35, 0, 2, 3, 40
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\models\user.js", "JavaScript", 0, 31, 0, 3, 1, 35
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\utils\s3.js", "JavaScript", 0, 28, 0, 9, 6, 43
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\views\blog.js", "JavaScript", 0, 11, 0, 2, 9, 22
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\views\user.js", "JavaScript", 0, 3, 0, 0, -2, 1
"c:\Users\yusuf\Desktop\he-we-go-again\package-lock.json", "JSON", 0, 0, 21029, 0, 1, 21030
"c:\Users\yusuf\Desktop\he-we-go-again\package.json", "JSON", 0, 0, 9, 0, 0, 9
"c:\Users\yusuf\Desktop\he-we-go-again\src\App.vue", "Vue", 7, 0, 0, 0, 2, 9
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\appBar.vue", "Vue", 5, 0, 0, 0, 0, 5
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\fileUpload.vue", "Vue", 43, 0, 0, 0, 3, 46
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\forgotPassword.vue", "Vue", 5, 0, 0, 0, 0, 5
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\particleJs.vue", "Vue", 0, 0, 0, 0, 1, 1
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\postView.vue", "Vue", 51, 0, 0, 0, 1, 52
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\textEditor.vue", "Vue", 35, 0, 0, 0, 2, 37
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\userAccountMenu.vue", "Vue", 96, 0, 0, 0, 9, 105
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\userAccountMenuOld.vue", "Vue", 57, 0, 0, 0, 5, 62
"c:\Users\yusuf\Desktop\he-we-go-again\src\main.js", "JavaScript", 0, 1, 0, 0, -1, 0
"c:\Users\yusuf\Desktop\he-we-go-again\src\router\index.js", "JavaScript", 0, 59, 0, 0, -1, 58
"c:\Users\yusuf\Desktop\he-we-go-again\src\store\index.js", "JavaScript", 0, 55, 0, 0, 2, 57
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\HomeView.vue", "Vue", 103, 0, 0, 0, 2, 105
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\LoginView.vue", "Vue", 41, 0, 0, 5, 4, 50
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\LogoutView.vue", "Vue", 25, 0, 0, 0, 2, 27
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\MyContentView.vue", "Vue", 53, 0, 0, 0, 4, 57
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\NewPostView.vue", "Vue", 88, 0, 0, 0, 3, 91
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\PageNotFoundView.vue", "Vue", 5, 0, 0, 0, 1, 6
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\PostsView.vue", "Vue", 71, 0, 0, 0, 2, 73
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\ProfileView.vue", "Vue", 52, 0, 0, 0, 3, 55
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\RegisterView.vue", "Vue", 15, 0, 0, -1, 0, 14
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\SettingsView.vue", "Vue", 64, 0, 0, 0, 2, 66
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\UserProfileView.vue", "Vue", 42, 0, 0, 0, 2, 44
"Total", "-", 858, 284, 21039, 22, 73, 22276
