"filename", "language", "JavaScript", "Vue", "Markdown", "JSON", "XML", "JSON with Comments", "HTML", "comment", "blank", "total"
"c:\Users\yusuf\Desktop\he-we-go-again\README.md", "Markdown", 0, 0, 19, 0, 0, 0, 0, 0, 6, 25
"c:\Users\yusuf\Desktop\he-we-go-again\apis\package-lock.json", "JSON", 0, 0, 0, 3541, 0, 0, 0, 0, 1, 3542
"c:\Users\yusuf\Desktop\he-we-go-again\apis\package.json", "JSON", 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\app.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 2, 5, 28
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\controllers\blog.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 5, 66
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\controllers\user.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 3, 8, 78
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\models\blog.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 2, 3, 40
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\models\user.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 3, 1, 35
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\utils\s3.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 9, 6, 43
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\views\blog.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 2, 9, 22
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\views\user.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\yusuf\Desktop\he-we-go-again\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\yusuf\Desktop\he-we-go-again\cryptojs.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\yusuf\Desktop\he-we-go-again\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 8, 0, 12, 0, 20
"c:\Users\yusuf\Desktop\he-we-go-again\package-lock.json", "JSON", 0, 0, 0, 21029, 0, 0, 0, 0, 1, 21030
"c:\Users\yusuf\Desktop\he-we-go-again\package.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 1, 69
"c:\Users\yusuf\Desktop\he-we-go-again\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 16, 1, 1, 18
"c:\Users\yusuf\Desktop\he-we-go-again\src\App.vue", "Vue", 0, 29, 0, 0, 0, 0, 0, 1, 5, 35
"c:\Users\yusuf\Desktop\he-we-go-again\src\assets\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\HelloWorld copy.vue", "Vue", 0, 137, 0, 0, 0, 0, 0, 0, 13, 150
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\HelloWorld.vue", "Vue", 0, 137, 0, 0, 0, 0, 0, 0, 13, 150
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\appBar.vue", "Vue", 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\fileUpload.vue", "Vue", 0, 43, 0, 0, 0, 0, 0, 0, 3, 46
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\footerSection.vue", "Vue", 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\forgotPassword.vue", "Vue", 0, 40, 0, 0, 0, 0, 0, 0, 3, 43
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\navigationDrawer.vue", "Vue", 0, 37, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\particleJs.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\postView.vue", "Vue", 0, 51, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\textEditor.vue", "Vue", 0, 35, 0, 0, 0, 0, 0, 0, 2, 37
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\userAccountMenu.vue", "Vue", 0, 96, 0, 0, 0, 0, 0, 0, 9, 105
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\userAccountMenuOld.vue", "Vue", 0, 57, 0, 0, 0, 0, 0, 0, 5, 62
"c:\Users\yusuf\Desktop\he-we-go-again\src\main.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\yusuf\Desktop\he-we-go-again\src\plugins\vuetify.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 3, 3, 11
"c:\Users\yusuf\Desktop\he-we-go-again\src\plugins\webfontloader.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 5, 3, 16
"c:\Users\yusuf\Desktop\he-we-go-again\src\router\index.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 4, 97
"c:\Users\yusuf\Desktop\he-we-go-again\src\store\index.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 4, 72
"c:\Users\yusuf\Desktop\he-we-go-again\src\utils\appAxios.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\AboutView.vue", "Vue", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\HomeView.vue", "Vue", 0, 112, 0, 0, 0, 0, 0, 0, 4, 116
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\LoginView.vue", "Vue", 0, 95, 0, 0, 0, 0, 0, 5, 5, 105
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\LogoutView.vue", "Vue", 0, 25, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\MyContentView.vue", "Vue", 0, 53, 0, 0, 0, 0, 0, 0, 4, 57
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\NewPostView.vue", "Vue", 0, 88, 0, 0, 0, 0, 0, 0, 3, 91
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\PageNotFoundView.vue", "Vue", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\PostsView.vue", "Vue", 0, 71, 0, 0, 0, 0, 0, 0, 2, 73
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\ProfileView.vue", "Vue", 0, 52, 0, 0, 0, 0, 0, 0, 3, 55
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\RegisterView.vue", "Vue", 0, 88, 0, 0, 0, 0, 0, 0, 2, 90
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\SettingsView.vue", "Vue", 0, 64, 0, 0, 0, 0, 0, 0, 2, 66
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\UserProfileView.vue", "Vue", 0, 42, 0, 0, 0, 0, 0, 0, 2, 44
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\UserView.vue", "Vue", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\yusuf\Desktop\he-we-go-again\vue.config.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 1, 2, 11
"Total", "-", 476, 1413, 19, 24660, 1, 8, 16, 49, 170, 26812
