"filename", "language", "JavaScript", "Vue", "JSON with Comments", "Markdown", "HTML", "XML", "JSON", "comment", "blank", "total"
"c:\Users\yusuf\Desktop\he-we-go-again\README.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\yusuf\Desktop\he-we-go-again\apis\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 3541, 0, 1, 3542
"c:\Users\yusuf\Desktop\he-we-go-again\apis\package.json", "JSON", 0, 0, 0, 0, 0, 0, 22, 0, 1, 23
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\app.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 2, 5, 28
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\controllers\blog.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 0, 9, 125
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\controllers\user.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 7, 81
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\models\blog.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 2, 3, 46
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\models\user.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 3, 1, 41
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\utils\s3.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 9, 6, 43
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\views\blog.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 2, 12, 28
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\views\user.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\yusuf\Desktop\he-we-go-again\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\yusuf\Desktop\he-we-go-again\cryptojs.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\yusuf\Desktop\he-we-go-again\jsconfig.json", "JSON with Comments", 0, 0, 8, 0, 0, 0, 0, 12, 0, 20
"c:\Users\yusuf\Desktop\he-we-go-again\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 21670, 0, 1, 21671
"c:\Users\yusuf\Desktop\he-we-go-again\package.json", "JSON", 0, 0, 0, 0, 0, 0, 79, 0, 1, 80
"c:\Users\yusuf\Desktop\he-we-go-again\public\index.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 1, 1, 18
"c:\Users\yusuf\Desktop\he-we-go-again\src\App.vue", "Vue", 0, 29, 0, 0, 0, 0, 0, 1, 5, 35
"c:\Users\yusuf\Desktop\he-we-go-again\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\HelloWorld copy.vue", "Vue", 0, 137, 0, 0, 0, 0, 0, 0, 13, 150
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\HelloWorld.vue", "Vue", 0, 137, 0, 0, 0, 0, 0, 0, 13, 150
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\appBar.vue", "Vue", 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\changePassword.vue", "Vue", 0, 60, 0, 0, 0, 0, 0, 0, 2, 62
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\fileUpload.vue", "Vue", 0, 44, 0, 0, 0, 0, 0, 0, 3, 47
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\footerSection.vue", "Vue", 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\forgotPassword.vue", "Vue", 0, 46, 0, 0, 0, 0, 0, 0, 4, 50
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\googleAuth.vue", "Vue", 0, 86, 0, 0, 0, 0, 0, 0, 9, 95
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\googleAuthJS.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\navigationDrawer.vue", "Vue", 0, 37, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\particleJs.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\postView.vue", "Vue", 0, 51, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\textEditor.vue", "Vue", 0, 52, 0, 0, 0, 0, 0, 1, 4, 57
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\textEditorold.vue", "Vue", 0, 35, 0, 0, 0, 0, 0, 0, 2, 37
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\userAccountMenu.vue", "Vue", 0, 107, 0, 0, 0, 0, 0, 0, 9, 116
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\userAccountMenuOld.vue", "Vue", 0, 57, 0, 0, 0, 0, 0, 0, 5, 62
"c:\Users\yusuf\Desktop\he-we-go-again\src\main.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\yusuf\Desktop\he-we-go-again\src\plugins\vuetify.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 3, 3, 28
"c:\Users\yusuf\Desktop\he-we-go-again\src\plugins\webfontloader.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 5, 3, 16
"c:\Users\yusuf\Desktop\he-we-go-again\src\router\index.js", "JavaScript", 103, 0, 0, 0, 0, 0, 0, 0, 4, 107
"c:\Users\yusuf\Desktop\he-we-go-again\src\store\index.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 4, 72
"c:\Users\yusuf\Desktop\he-we-go-again\src\utils\appAxios.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\yusuf\Desktop\he-we-go-again\src\utils\crypto.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\AboutView.vue", "Vue", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\EditPostView.vue", "Vue", 0, 128, 0, 0, 0, 0, 0, 0, 6, 134
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\HomeView.vue", "Vue", 0, 140, 0, 0, 0, 0, 0, 0, 7, 147
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\LoginView.vue", "Vue", 0, 102, 0, 0, 0, 0, 0, 5, 5, 112
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\LogoutView.vue", "Vue", 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\MyContentView.vue", "Vue", 0, 54, 0, 0, 0, 0, 0, 0, 4, 58
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\NewPostView.vue", "Vue", 0, 111, 0, 0, 0, 0, 0, 0, 4, 115
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\PageNotFoundView.vue", "Vue", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\PostsView.vue", "Vue", 0, 159, 0, 0, 0, 0, 0, 0, 7, 166
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\ProfileView.vue", "Vue", 0, 99, 0, 0, 0, 0, 0, 0, 6, 105
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\RegisterView.vue", "Vue", 0, 88, 0, 0, 0, 0, 0, 0, 2, 90
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\SettingsView.vue", "Vue", 0, 72, 0, 0, 0, 0, 0, 0, 3, 75
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\UserProfileView.vue", "Vue", 0, 47, 0, 0, 0, 0, 0, 0, 2, 49
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\UserView.vue", "Vue", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\yusuf\Desktop\he-we-go-again\vue.config.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 1, 2, 11
"Total", "-", 601, 1964, 8, 19, 16, 1, 25312, 47, 221, 28189
